elementType,S1,S2,S3
6,Este pollo,en salsa,está exquisito
3,El farol,de gas,se apagó
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
3,La funda,del móvil,se extravió
7,Esa bombilla,está parpadeando,de nuevo
3,Los fideos,son mi,comida favorita
4,Esta manguera,necesita un,conector nuevo
2,xx xxxxx,xx xx,xx xxxxx
6,Esta pala,se partió,en dos
6,Este pañuelo,lleva un,estampado elegante
4,Este muñeco,de porcelana,es frágil
7,Ese bocadillo,se cayó,al suelo
1,Esta salchicha,italiana tiene,mucho sabor
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
1,Este sobre,va dirigido,a ti
3,El filtro,de aceite,está sucio
4,La máscara,impedía ver,sus ojos
5,Esta nectarina,es difícil,de pelar
3,Las fajitas,de maiz,están listas
5,Esos naipes,tienen un,diseño particular
6,Ese pavo,tenía una,piel crujiente
1,El sable,del general,estaba oxidado
7,Este bacalao,con patatas,es delicioso
7,Esa boina,negra le,va bien
3,Esta fabada,de camarones,está exquisita
6,Esa paletilla,de cordero,es popular
7,El balde,está lleno,de hielo
6,Ese pincel,ancho cubre,más área
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
5,Este neceser,es para,mis cosméticos
5,Los nachos,con queso,son irresistibles
7,Este bolígafo,se quedó,sin tinta
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
5,Esta navaja,de afeitar,está desgastada
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
4,La mantequilla,se utiliza,para cocinar
1,Esta sopa,de cebollas,esta exquisita
6,El paraguas,lo olvidé,en casa
6,La paella,se sirve,en cazuelas
5,Este nudo,asegura fuertemente,al barco
4,Ese melón,todavía está,muy inmaduro
6,Este palillo,chino es,muy delgado
4,Este monitor,muestra imágenes,muy borrosas
3,Este fúsil,de asalto,nos aterroriza
1,El sello,del frasco,está roto
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
2,xx xxxxx,xx xx,xx xxxxx
1,Esa soga,está hecha,de cáñamo
3,Esa ficha,de ajedrez,se movió
7,Este bombón,está relleno,de licor
1,Esta sandía,tiene pepitas,muy tiernas
5,La naranja,tiene un,perfume agradable
7,Ese bizcocho,lleva frutas,y nueces
5,Esta nata,líquida me,gusta mucho
4,El mango,es una,fruta cara
4,Este mazapán,casero te,quedó delicioso
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
7,Ese violín,del concierto,era extraordinario
4,El martillo,está sobre,la mesa
7,El vinagre,balsámico es,muy sabroso
5,La nevera,está vacía,de nuevo
1,Esas setas,portobello son,muy carnosas
3,Esa fondúe,de frutas,es exquisita
3,Este filete,está marinado,en vino
4,Esa manzana,caramelizada parece,muy sabrosa
1,El salmón,ahumado es,mi favorito
6,Las pasas,añaden un,sabor dulce
5,Esta nuez,moscada se,trocea facilmente
1,La sartén,se cayó,al suelo
