elementType,S1,S2,S3
6,Este pollo,en salsa,está exquisito
3,Esa ficha,de ajedrez,se movió
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
3,Este fusil,de asalto,nos aterroriza
7,Esa boina,negra le,va bien
3,Este filete,está marinado,en vino
4,El martillo,está sobre,la mesa
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
6,Ese pincel,ancho cubre,más área
6,El paraguas,lo olvidé,en casa
4,La máscara,impedía ver,sus ojos
7,El vinagre,balsámico es,muy sabroso
1,Esta sandía,tiene pepitas,muy tiernas
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
1,El sello,del frasco,está roto
3,La funda,del móvil,se extravió
4,Esta manguera,necesita un,conector nuevo
5,Los nachos,con queso,son irresistibles
3,Las fajitas,de maiz,están listas
5,Este nudo,asegura fuertemente,al barco
6,Ese pavo,tenía una,piel crujiente
1,La sartén,se cayó,al suelo
7,Este bombón,está relleno,de licor
7,El balde,está lleno,de hielo
3,Esta fabada,de camarones,está exquisita
6,Las pasas,añaden un,sabor dulce
7,Ese violín,del concierto,era extraordinario
6,Este palillo,chino es,muy delgado
2,xx xxxxx,xx xx,xx xxxxx
2,xx xxxxx,xx xx,xx xxxxx
5,La nevera,está vacía,de nuevo
5,Esta nuez,moscada se,trocea facilmente
7,Este bolígafo,se quedó,sin tinta
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
5,Esta navaja,de afeitar,está desgastada
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
4,El mango,es una,fruta cara
1,Esta salchicha,italiana tiene,mucho sabor
6,Este pañuelo,lleva un,estampado elegante
6,La paella,se sirve,en cazuelas
5,Este neceser,es para,mis cosméticos
4,Ese melón,todavía está,muy inmaduro
6,Esta pala,se partió,en dos
4,Este muñeco,de porcelana,es frágil
3,El farol,de gas,se apagó
1,Esa soga,está hecha,de cáñamo
2,xx xxxx,xx xxxxxxx,xxxx xxxxx
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
1,El sable,del general,estaba oxidado
3,El filtro,de aceite,está sucio
7,Ese bizcocho,lleva frutas,y nueces
1,Esas setas,portobello son,muy carnosas
5,La naranja,tiene un,perfume agradable
7,Ese bocadillo,se cayó,al suelo
5,Esta nectarina,es difícil,de pelar
4,Esa manzana,caramelizada parece,muy sabrosa
4,Este mazapán,casero te,quedó delicioso
2,xx xxxx,xx xxxxxxxx,xxxx xxxxxxx
7,Esa bombilla,está parpadeando,de nuevo
4,Este monitor,muestra imágenes,muy borrosas
7,Este bacalao,con patatas,es delicioso
5,Esos naipes,tienen un,diseño particular
1,El salmón,ahumado es,mi favorito
3,Esa fondúe,de frutas,es exquisita
3,Los fideos,son mi,comida favorita
4,La mantequilla,se utiliza,para cocinar
1,Esta sopa,de cebollas,esta exquisita
6,Esa paletilla,de cordero,es popular
5,Esta nata,líquida me,gusta mucho
1,Este sobre,va dirigido,a ti
